time,S0,S1,S2,S3,S4,S5,S6,S7,startTime:,23:28:15:127
1,109,350,88,35,340,242,90,192, ,
475,58,329,51,13,316,227,141,259, ,
507,85,334,42,25,306,236,124,272, ,
533,88,345,31,43,330,213,154,288, ,
558,125,353,34,24,330,233,170,320, ,
585,81,348,31,20,379,221,163,348, ,
610,224,320,51,28,305,250,176,383, ,
636,67,276,75,29,293,249,170,411, ,
662,100,282,44,26,296,244,180,414, ,
688,103,266,36,21,290,244,182,423, ,
713,48,240,30,20,307,252,178,426, ,
740,54,243,35,13,271,247,184,437, ,
767,64,254,44,3,292,256,186,433, ,
794,53,238,51,12,293,267,188,422, ,
819,87,245,50,18,284,260,210,420, ,
845,90,252,30,26,288,247,217,421, ,
871,62,228,11,21,281,236,218,443, ,
897,137,246,58,8,266,250,218,455, ,
933,94,258,12,39,267,232,237,472, ,
960,104,263,17,23,264,239,178,471, ,
985,72,259,65,8,273,253,225,478, ,
1012,106,263,47,5,259,336,232,469, ,
1037,92,268,13,31,371,243,247,480, ,
1065,97,266,25,24,266,227,254,491, ,
1091,128,258,34,14,235,249,251,540, ,
1117,76,243,23,53,248,239,267,497, ,
1143,74,270,38,9,251,239,255,496, ,
1169,81,274,45,13,254,240,277,508, ,
1194,62,266,65,6,256,255,285,527, ,
1221,68,284,41,4,255,241,312,599, ,
1246,80,272,72,26,256,245,321,631, ,
1273,70,280,13,35,273,230,377,740, ,
1298,66,258,27,10,261,239,428,852, ,
1324,87,261,33,27,263,220,491,977, ,
1352,90,281,3,14,289,247,517,1035, ,
1378,114,299,44,7,312,276,499,1060, ,
1403,177,362,13,27,375,295,514,982, ,
1430,126,444,39,22,420,295,485,950, ,
1455,134,501,39,10,430,338,486,912, ,
1482,213,584,36,28,470,323,486,900, ,
1507,243,630,6,32,486,331,490,851, ,
1534,257,694,65,22,480,379,459,779, ,
1559,244,757,27,17,513,320,398,691, ,
1585,274,804,34,11,538,331,347,579, ,
1611,251,828,41,35,511,284,338,514, ,
1639,243,775,36,34,477,292,350,509, ,
1664,221,662,70,28,419,283,374,567, ,
1691,172,521,15,45,362,290,428,659, ,
1716,129,411,36,32,346,273,436,702, ,
1756,122,282,66,8,307,277,480,769, ,
1782,49,196,21,7,278,249,536,908, ,
1808,119,126,20,33,212,236,624,1025, ,
1834,38,104,14,22,186,224,665,1127, ,
1860,70,71,15,17,176,229,663,1072, ,
1886,38,128,3,17,196,221,645,1028, ,
1911,21,116,132,8,200,236,618,1014, ,
1940,88,155,6,36,220,224,623,969, ,
1965,73,179,9,33,249,251,603,907, ,
1992,134,214,56,10,253,279,587,857, ,
2017,83,246,4,28,272,259,589,860, ,
2043,96,254,13,21,304,280,597,860, ,
2069,154,297,25,29,317,306,590,765, ,
2095,149,378,114,21,360,293,567,746, ,
2121,219,451,56,33,384,324,589,732, ,
2158,237,480,68,6,390,342,606,752, ,
2184,205,545,86,4,410,317,607,759, ,
